condition,model,train_dataset,classes,seed,accuracy,macro_f1,n_samples,per_class_f1
dhan_field,resnet50,dhan_shomadhan,brown_spot|tungro,42,0.7272727272727273,0.7053571428571428,22,"{""brown_spot"": 0.625, ""tungro"": 0.7857142857142857}"
dhan_white,resnet50,dhan_shomadhan,brown_spot|tungro,42,0.8620689655172413,0.8535353535353536,29,"{""brown_spot"": 0.8181818181818182, ""tungro"": 0.8888888888888888}"
riceleafbd_field,resnet50,dhan_shomadhan,brown_spot|tungro,42,0.5864661654135338,0.5725471863495588,133,"{""brown_spot"": 0.4954128440366973, ""tungro"": 0.6496815286624203}"
