image_path,dataset,foreground_fraction,n_components,largest_component_fraction,sam_score
data\raw\riceleafbd\Bacterial Leaf Blight\310077906_1096335294401000_358816161487578227_n.jpg,riceleafbd,0.11997670568586372,1,0.11997670568586372,0.9793597459793091
data\raw\riceleafbd\Bacterial Leaf Blight\310078353_660589472106425_3907303379127533192_n.jpg,riceleafbd,0.06976008810772759,1,0.06976008810772759,0.9591145515441895
data\raw\riceleafbd\Bacterial Leaf Blight\310090711_874207533939594_3235125099262747986_n (1).jpg,riceleafbd,0.5618735711019661,1,0.5618735711019661,0.9616131782531738
data\raw\riceleafbd\Bacterial Leaf Blight\310099266_1114310669474495_1151059898472155262_n.jpg,riceleafbd,0.9945445693709583,1,0.9945445693709583,0.9936302900314331
data\raw\riceleafbd\Bacterial Leaf Blight\310103066_1336526506753515_6186056900445065534_n.jpg,riceleafbd,0.0009472934472934473,1,0.0009472934472934473,0.8774240016937256
data\raw\riceleafbd\Bacterial Leaf Blight\310106462_1093880197983588_1411787509327726484_n.jpg,riceleafbd,0.7096000438308131,1,0.7096000438308131,0.9969393014907837
data\raw\riceleafbd\Bacterial Leaf Blight\310108465_1274344353360521_4050189809060602811_n.jpg,riceleafbd,0.08634313133925237,1,0.08634313133925237,0.972316324710846
data\raw\riceleafbd\Bacterial Leaf Blight\310111298_562164032386723_1187157458750245682_n (1).jpg,riceleafbd,0.8827093397745571,1,0.8827093397745571,0.9324096441268921
data\raw\riceleafbd\Bacterial Leaf Blight\310111298_562164032386723_1187157458750245682_n.jpg,riceleafbd,0.8827093397745571,1,0.8827093397745571,0.9324096441268921
data\raw\riceleafbd\Bacterial Leaf Blight\310114150_1326246238112132_6368990570522175941_n.jpg,riceleafbd,0.9400474956822107,1,0.9400474956822107,0.8737152814865112
data\raw\riceleafbd\Bacterial Leaf Blight\310116581_5529911123723324_4187199742885998953_n.jpg,riceleafbd,0.9960136115378051,1,0.9960136115378051,0.9778228998184204
data\raw\riceleafbd\Bacterial Leaf Blight\310117662_659620325688598_7388704243788229374_n.jpg,riceleafbd,0.29941721132897603,1,0.29941721132897603,0.917312741279602
data\raw\riceleafbd\Bacterial Leaf Blight\310118366_792036068554166_3778291304245694531_n.jpg,riceleafbd,0.1113331228956229,1,0.1113331228956229,0.9812976121902466
data\raw\riceleafbd\Bacterial Leaf Blight\310155672_615122330405118_141836114081908699_n (1).jpg,riceleafbd,0.08198938632781717,1,0.08198938632781717,0.9604374170303345
data\raw\riceleafbd\Bacterial Leaf Blight\310186129_1587918904994279_3358023107928269316_n.jpg,riceleafbd,0.9868896069983026,1,0.9868896069983026,1.0061312913894653
data\raw\riceleafbd\Bacterial Leaf Blight\310204379_844905173419386_2433971113517325536_n.jpg,riceleafbd,0.06634759345163586,1,0.06634759345163586,0.9834102392196655
data\raw\riceleafbd\Bacterial Leaf Blight\310206284_656083739226753_3914532778220688758_n.jpg,riceleafbd,0.1884796891435929,1,0.1884796891435929,0.9984399080276489
data\raw\riceleafbd\Bacterial Leaf Blight\310227896_2359522557534803_874180533767999718_n.jpg,riceleafbd,0.11562239754547447,1,0.11562239754547447,0.974770188331604
data\raw\riceleafbd\Bacterial Leaf Blight\310242655_462324529121851_7634462214048329274_n.jpg,riceleafbd,0.9078296703296703,1,0.9078296703296703,0.9149268865585327
data\raw\riceleafbd\Bacterial Leaf Blight\310245436_530123098626208_7344551422469112740_n.jpg,riceleafbd,0.8069994754491466,1,0.8069994754491466,0.9149904251098633
data\raw\riceleafbd\Bacterial Leaf Blight\310246564_645862093898606_4326219695700720633_n.jpg,riceleafbd,0.22375624219725343,1,0.22375624219725343,0.982001543045044
data\raw\riceleafbd\Bacterial Leaf Blight\310252428_829038964986259_6100403909234475320_n.jpg,riceleafbd,0.9421974066347609,1,0.9421974066347609,0.9882103204727173
data\raw\riceleafbd\Bacterial Leaf Blight\310271125_854878082364909_969723976098953938_n.jpg,riceleafbd,0.2467605782420597,1,0.2467605782420597,1.0079749822616577
data\raw\riceleafbd\Bacterial Leaf Blight\310287299_803094234309195_4665509542057031227_n.jpg,riceleafbd,0.11582347140039448,1,0.11582347140039448,1.0066319704055786
data\raw\riceleafbd\Bacterial Leaf Blight\310290439_684785263013773_6826715026678719745_n.jpg,riceleafbd,0.04008736559139785,1,0.04008736559139785,0.9695533514022827
data\raw\riceleafbd\Bacterial Leaf Blight\310298902_1613877562348531_1007280443627564728_n.jpg,riceleafbd,0.027097147342546115,1,0.027097147342546115,0.8839247226715088
data\raw\riceleafbd\Bacterial Leaf Blight\310301288_829532258098749_271686150820095018_n.jpg,riceleafbd,0.007054183813443073,1,0.007054183813443073,0.9617844820022583
data\raw\riceleafbd\Bacterial Leaf Blight\310321695_687983289408936_7725850286696211803_n.jpg,riceleafbd,0.0831815691431076,1,0.0831815691431076,0.9926761388778687
data\raw\riceleafbd\Bacterial Leaf Blight\310335563_689649512083368_5156866007167643059_n.jpg,riceleafbd,0.9965912861349592,1,0.9965912861349592,1.0001124143600464
data\raw\riceleafbd\Bacterial Leaf Blight\310346992_1108086863410406_8151012851109379531_n (1).jpg,riceleafbd,0.1020329949998503,1,0.1020329949998503,0.9894013404846191
data\raw\riceleafbd\Bacterial Leaf Blight\310348568_1576915136115241_4061210897780894592_n.jpg,riceleafbd,0.9491721455182993,1,0.9491721455182993,1.0096631050109863
data\raw\riceleafbd\Bacterial Leaf Blight\310348569_496418645770619_1973838462801256641_n.jpg,riceleafbd,0.8993354152969537,1,0.8993354152969537,1.0067633390426636
data\raw\riceleafbd\Bacterial Leaf Blight\310398982_1743511802696734_8223560625839530939_n (1).jpg,riceleafbd,0.9797292585120426,1,0.9797292585120426,1.0213677883148193
data\raw\riceleafbd\Bacterial Leaf Blight\310398982_1743511802696734_8223560625839530939_n.jpg,riceleafbd,0.9797292585120426,1,0.9797292585120426,1.0213677883148193
data\raw\riceleafbd\Bacterial Leaf Blight\310399369_540025967958207_1299660027449913615_n.jpg,riceleafbd,0.9811596389091852,1,0.9811596389091852,0.884864091873169
data\raw\riceleafbd\Bacterial Leaf Blight\310399965_525487952452987_1097327620810210042_n.jpg,riceleafbd,0.7391483918128655,1,0.7391483918128655,0.8669408559799194
data\raw\riceleafbd\Bacterial Leaf Blight\310406638_441712651261553_8445621227755511487_n.jpg,riceleafbd,0.137926024428684,1,0.137926024428684,0.9706093072891235
data\raw\riceleafbd\Bacterial Leaf Blight\310408699_496897225830087_237703061076680073_n.jpg,riceleafbd,0.15248535398669447,1,0.15248535398669447,0.9918233156204224
data\raw\riceleafbd\Bacterial Leaf Blight\310408699_822627472279758_1254045115159679670_n (1).jpg,riceleafbd,0.07789351851851851,1,0.07789351851851851,0.9870580434799194
data\raw\riceleafbd\Bacterial Leaf Blight\310408699_822627472279758_1254045115159679670_n.jpg,riceleafbd,0.07789351851851851,1,0.07789351851851851,0.9870580434799194
data\raw\riceleafbd\Bacterial Leaf Blight\310415196_863381368363076_2835015746818951626_n.jpg,riceleafbd,0.045134231865001095,1,0.045134231865001095,0.9508676528930664
data\raw\riceleafbd\Bacterial Leaf Blight\310421506_682212046823295_7959506462679908202_n.jpg,riceleafbd,0.9039729749577734,1,0.9039729749577734,0.9350876808166504
data\raw\riceleafbd\Bacterial Leaf Blight\310425396_1159231851666855_6998416759931708991_n.jpg,riceleafbd,0.22343090074723845,1,0.22343090074723845,0.9661000967025757
