image_path,dataset,foreground_fraction,n_components,largest_component_fraction
data\raw\riceleafbd\Bacterial Leaf Blight\310106462_1093880197983588_1411787509327726484_n.jpg,riceleafbd,0.12507396449704142,1,0.12507396449704142
data\raw\riceleafbd\Bacterial Leaf Blight\310108465_1274344353360521_4050189809060602811_n.jpg,riceleafbd,0.418019279947131,1,0.418019279947131
data\raw\riceleafbd\Bacterial Leaf Blight\310111298_562164032386723_1187157458750245682_n (1).jpg,riceleafbd,0.12893630345321166,1,0.12893630345321166
data\raw\riceleafbd\Bacterial Leaf Blight\310111298_562164032386723_1187157458750245682_n.jpg,riceleafbd,0.12893630345321166,1,0.12893630345321166
data\raw\riceleafbd\Bacterial Leaf Blight\310114150_1326246238112132_6368990570522175941_n.jpg,riceleafbd,0.6006968432162733,1,0.6006968432162733
data\raw\riceleafbd\Bacterial Leaf Blight\310116581_5529911123723324_4187199742885998953_n.jpg,riceleafbd,0.5363335253456222,1,0.5363335253456222
data\raw\riceleafbd\Bacterial Leaf Blight\310117662_659620325688598_7388704243788229374_n.jpg,riceleafbd,0.08526688453159041,1,0.08526688453159041
data\raw\riceleafbd\Bacterial Leaf Blight\310118366_792036068554166_3778291304245694531_n.jpg,riceleafbd,0.39390309343434343,1,0.39390309343434343
data\raw\riceleafbd\Bacterial Leaf Blight\310155672_615122330405118_141836114081908699_n (1).jpg,riceleafbd,0.2509019158786446,1,0.2509019158786446
data\raw\riceleafbd\Bacterial Leaf Blight\310186129_1587918904994279_3358023107928269316_n.jpg,riceleafbd,0.7336510423466945,1,0.7336510423466945
data\raw\riceleafbd\Bacterial Leaf Blight\310204379_844905173419386_2433971113517325536_n.jpg,riceleafbd,0.1087149939866971,1,0.1087149939866971
data\raw\riceleafbd\Bacterial Leaf Blight\310206284_656083739226753_3914532778220688758_n.jpg,riceleafbd,0.20027418362830587,1,0.20027418362830587
data\raw\riceleafbd\Bacterial Leaf Blight\310227896_2359522557534803_874180533767999718_n.jpg,riceleafbd,0.1980928117466579,1,0.1980928117466579
data\raw\riceleafbd\Bacterial Leaf Blight\310242655_462324529121851_7634462214048329274_n.jpg,riceleafbd,0.21506105006105006,1,0.21506105006105006
data\raw\riceleafbd\Bacterial Leaf Blight\310245436_530123098626208_7344551422469112740_n.jpg,riceleafbd,0.2386519043069372,1,0.2386519043069372
data\raw\riceleafbd\Bacterial Leaf Blight\310246564_645862093898606_4326219695700720633_n.jpg,riceleafbd,0.6664944860590928,1,0.6664944860590928
data\raw\riceleafbd\Bacterial Leaf Blight\310252428_829038964986259_6100403909234475320_n.jpg,riceleafbd,0.5635602381828912,1,0.5635602381828912
data\raw\riceleafbd\Bacterial Leaf Blight\310271125_854878082364909_969723976098953938_n.jpg,riceleafbd,0.17046269916640286,1,0.17046269916640286
data\raw\riceleafbd\Bacterial Leaf Blight\310287299_803094234309195_4665509542057031227_n.jpg,riceleafbd,0.10908557966250274,1,0.10908557966250274
data\raw\riceleafbd\Bacterial Leaf Blight\310290439_684785263013773_6826715026678719745_n.jpg,riceleafbd,0.4908826164874552,1,0.4908826164874552
data\raw\riceleafbd\Bacterial Leaf Blight\310298902_1613877562348531_1007280443627564728_n.jpg,riceleafbd,0.4292996426432009,1,0.4292996426432009
data\raw\riceleafbd\Bacterial Leaf Blight\310301288_829532258098749_271686150820095018_n.jpg,riceleafbd,0.34340649291266573,1,0.34340649291266573
data\raw\riceleafbd\Bacterial Leaf Blight\310321695_687983289408936_7725850286696211803_n.jpg,riceleafbd,0.06859686609686609,1,0.06859686609686609
data\raw\riceleafbd\Bacterial Leaf Blight\310335563_689649512083368_5156866007167643059_n.jpg,riceleafbd,0.7538307204180664,1,0.7538307204180664
data\raw\riceleafbd\Bacterial Leaf Blight\310346992_1108086863410406_8151012851109379531_n (1).jpg,riceleafbd,0.35884532471032066,1,0.35884532471032066
data\raw\riceleafbd\Bacterial Leaf Blight\310348568_1576915136115241_4061210897780894592_n.jpg,riceleafbd,0.5339245014245014,1,0.5339245014245014
data\raw\riceleafbd\Bacterial Leaf Blight\310348569_496418645770619_1973838462801256641_n.jpg,riceleafbd,0.34779750164365547,1,0.34779750164365547
