held_out_dataset,model,seed,train_datasets,classes,augmentation,accuracy,macro_f1,n_samples,per_class_f1,checkpoint_path
riceleafbd,mobilenetv2_100,42,dhan_shomadhan+brri_rice_disease_pest,brown_spot|healthy|tungro,default,0.5964912280701754,0.5744116037219485,171,"{""brown_spot"": 0.5833333333333334, ""healthy"": 0.4827586206896552, ""tungro"": 0.6571428571428571}",results/checkpoints/mobilenetv2_100__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__seed42.pth
riceleafbd,efficientnet_b0,42,dhan_shomadhan+brri_rice_disease_pest,brown_spot|healthy|tungro,default,0.5847953216374269,0.5410355796945202,171,"{""brown_spot"": 0.5522388059701493, ""healthy"": 0.3728813559322034, ""tungro"": 0.697986577181208}",results/checkpoints/efficientnet_b0__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__seed42.pth
riceleafbd,resnet50,42,dhan_shomadhan+brri_rice_disease_pest,brown_spot|healthy|tungro,default,0.5146198830409356,0.3831530788052528,171,"{""brown_spot"": 0.5034965034965035, ""healthy"": 0.0, ""tungro"": 0.6459627329192547}",results/checkpoints/resnet50__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__seed42.pth
dhan_shomadhan,mobilenetv2_100,42,riceleafbd+brri_rice_disease_pest,brown_spot|rice_blast|scald|tungro,default,0.3548387096774194,0.3211830763792588,124,"{""brown_spot"": 0.17391304347826086, ""rice_blast"": 0.43902439024390244, ""scald"": 0.3384615384615385, ""tungro"": 0.3333333333333333}",results/checkpoints/mobilenetv2_100__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__seed42.pth
dhan_shomadhan,efficientnet_b0,42,riceleafbd+brri_rice_disease_pest,brown_spot|rice_blast|scald|tungro,default,0.5161290322580645,0.4886681483310696,124,"{""brown_spot"": 0.358974358974359, ""rice_blast"": 0.5842696629213483, ""scald"": 0.44, ""tungro"": 0.5714285714285714}",results/checkpoints/efficientnet_b0__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__seed42.pth
dhan_shomadhan,resnet50,42,riceleafbd+brri_rice_disease_pest,brown_spot|rice_blast|scald|tungro,default,0.4435483870967742,0.3950827398408043,124,"{""brown_spot"": 0.12903225806451613, ""rice_blast"": 0.5714285714285714, ""scald"": 0.4642857142857143, ""tungro"": 0.4155844155844156}",results/checkpoints/resnet50__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__seed42.pth
brri_rice_disease_pest,mobilenetv2_100,42,riceleafbd+dhan_shomadhan,healthy|rice_blast|scald|tungro,default,0.2508474576271186,0.2156236674014905,295,"{""healthy"": 0.11009174311926606, ""rice_blast"": 0.2931937172774869, ""scald"": 0.32407407407407407, ""tungro"": 0.13513513513513514}",results/checkpoints/mobilenetv2_100__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__seed42.pth
brri_rice_disease_pest,efficientnet_b0,42,riceleafbd+dhan_shomadhan,healthy|rice_blast|scald|tungro,default,0.1491525423728813,0.1262853692201518,295,"{""healthy"": 0.0380952380952381, ""rice_blast"": 0.10434782608695652, ""scald"": 0.15555555555555556, ""tungro"": 0.20714285714285716}",results/checkpoints/efficientnet_b0__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__seed42.pth
brri_rice_disease_pest,resnet50,42,riceleafbd+dhan_shomadhan,healthy|rice_blast|scald|tungro,default,0.30847457627118646,0.26710514892465587,295,"{""healthy"": 0.021739130434782608, ""rice_blast"": 0.45267489711934156, ""scald"": 0.367816091954023, ""tungro"": 0.2261904761904762}",results/checkpoints/resnet50__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__seed42.pth
