model,n_params,n_trainable,gflops,cpu_latency_ms_mean,cpu_latency_ms_std,model_size_mb
mobilenetv2_100,2226434,2226434,0.312915776,18.56769999838434,1.18122202510248,8.722959518432617
efficientnet_b0,4010110,4010110,0.398075424,27.399125999072567,3.4602230196739088,15.572725296020508
resnet50,23512130,23512130,4.109468672,76.02076200186275,3.412779136168046,89.99229621887207
