condition,model,train_dataset,classes,seed,accuracy,macro_f1,n_samples,per_class_f1
dhan_field,resnet50,dhan_shomadhan,brown_spot|tungro,42,0.727273,0.705357,22,"{""brown_spot"": 0.625, ""tungro"": 0.7857142857142857}"
dhan_white,resnet50,dhan_shomadhan,brown_spot|tungro,42,0.862069,0.853535,29,"{""brown_spot"": 0.8181818181818182, ""tungro"": 0.8888888888888888}"
riceleafbd_field,resnet50,dhan_shomadhan,brown_spot|tungro,42,0.586466,0.572547,133,"{""brown_spot"": 0.4954128440366973, ""tungro"": 0.6496815286624203}"
