date,run_id,model,train_dataset,eval_dataset,seed,accuracy,macro_f1,notes
2026-07-10T11:45:15.515671+00:00,mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__eval-riceleafbd__seed42,mobilenetv2_100,riceleafbd,riceleafbd,42,0.9097744360902256,0.9078947368421052,split=test
2026-07-10T11:45:21.146907+00:00,mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__eval-dhan_shomadhan__seed42,mobilenetv2_100,riceleafbd,dhan_shomadhan,42,0.5098039215686274,0.5098039215686274,split=test
2026-07-10T11:52:59.987291+00:00,mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__eval-dhan_shomadhan__seed42,mobilenetv2_100,dhan_shomadhan,dhan_shomadhan,42,0.8235294117647058,0.8164734106357456,split=test
2026-07-10T11:53:02.394105+00:00,mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__eval-riceleafbd__seed42,mobilenetv2_100,dhan_shomadhan,riceleafbd,42,0.5263157894736842,0.525886946189102,split=test
2026-07-10T11:53:43.129972+00:00,mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__eval-riceleafbd__seed42,mobilenetv2_100,riceleafbd,riceleafbd,42,0.9658119658119658,0.962012987012987,split=test
2026-07-10T11:53:47.362144+00:00,mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__eval-brri_rice_disease_pest__seed42,mobilenetv2_100,riceleafbd,brri_rice_disease_pest,42,0.3464566929133858,0.3330591584941474,split=test
2026-07-10T11:56:55.439284+00:00,mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__eval-brri_rice_disease_pest__seed42,mobilenetv2_100,brri_rice_disease_pest,brri_rice_disease_pest,42,0.8110236220472441,0.7673992673992673,split=test
2026-07-10T11:56:57.881707+00:00,mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__eval-riceleafbd__seed42,mobilenetv2_100,brri_rice_disease_pest,riceleafbd,42,0.5726495726495726,0.5726183518410286,split=test
2026-07-10T12:05:01.416599+00:00,mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__eval-dhan_shomadhan__seed42,mobilenetv2_100,dhan_shomadhan,dhan_shomadhan,42,0.6310679611650486,0.6088069636456733,split=test
2026-07-10T12:05:06.945687+00:00,mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__eval-brri_rice_disease_pest__seed42,mobilenetv2_100,dhan_shomadhan,brri_rice_disease_pest,42,0.4754901960784313,0.2955461087494095,split=test
2026-07-10T12:13:19.307404+00:00,mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__eval-brri_rice_disease_pest__seed42,mobilenetv2_100,brri_rice_disease_pest,brri_rice_disease_pest,42,0.7009803921568627,0.6422913042382069,split=test
2026-07-10T12:13:25.947540+00:00,mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__eval-dhan_shomadhan__seed42,mobilenetv2_100,brri_rice_disease_pest,dhan_shomadhan,42,0.4174757281553398,0.4090909090909091,split=test
2026-07-10T12:35:59.258096+00:00,efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__eval-riceleafbd__seed42,efficientnet_b0,riceleafbd,riceleafbd,42,0.9548872180451128,0.9532348804500704,split=test
2026-07-10T12:36:04.137618+00:00,efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__eval-dhan_shomadhan__seed42,efficientnet_b0,riceleafbd,dhan_shomadhan,42,0.4117647058823529,0.3830645161290322,split=test
2026-07-10T12:41:30.398683+00:00,efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__eval-dhan_shomadhan__seed42,efficientnet_b0,dhan_shomadhan,dhan_shomadhan,42,0.9019607843137256,0.8962148962148961,split=test
2026-07-10T12:41:32.820277+00:00,efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__eval-riceleafbd__seed42,efficientnet_b0,dhan_shomadhan,riceleafbd,42,0.5939849624060151,0.5239925768822906,split=test
2026-07-10T12:44:05.116868+00:00,efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__eval-riceleafbd__seed42,efficientnet_b0,riceleafbd,riceleafbd,42,0.9829059829059827,0.9807692307692308,split=test
2026-07-10T12:44:08.199722+00:00,efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__eval-brri_rice_disease_pest__seed42,efficientnet_b0,riceleafbd,brri_rice_disease_pest,42,0.3937007874015748,0.3749440715883669,split=test
2026-07-10T12:49:18.766898+00:00,efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__eval-brri_rice_disease_pest__seed42,efficientnet_b0,brri_rice_disease_pest,brri_rice_disease_pest,42,0.905511811023622,0.8816770186335404,split=test
2026-07-10T12:49:21.258107+00:00,efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__eval-riceleafbd__seed42,efficientnet_b0,brri_rice_disease_pest,riceleafbd,42,0.4444444444444444,0.4240817872018175,split=test
2026-07-10T12:58:01.381880+00:00,efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__eval-dhan_shomadhan__seed42,efficientnet_b0,dhan_shomadhan,dhan_shomadhan,42,0.6796116504854369,0.6732500292948984,split=test
2026-07-10T12:58:05.521754+00:00,efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__eval-brri_rice_disease_pest__seed42,efficientnet_b0,dhan_shomadhan,brri_rice_disease_pest,42,0.3627450980392157,0.3599776567518503,split=test
2026-07-10T13:06:12.841648+00:00,efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__eval-brri_rice_disease_pest__seed42,efficientnet_b0,brri_rice_disease_pest,brri_rice_disease_pest,42,0.7352941176470589,0.7000740101147156,split=test
2026-07-10T13:06:19.528582+00:00,efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__eval-dhan_shomadhan__seed42,efficientnet_b0,brri_rice_disease_pest,dhan_shomadhan,42,0.4077669902912621,0.2514161220043573,split=test
2026-07-10T13:12:37.973850+00:00,resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__eval-riceleafbd__seed42,resnet50,riceleafbd,riceleafbd,42,0.9323308270676692,0.929642038441192,split=test
2026-07-10T13:12:43.066570+00:00,resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__eval-dhan_shomadhan__seed42,resnet50,riceleafbd,dhan_shomadhan,42,0.4705882352941176,0.4705882352941176,split=test
2026-07-10T13:23:41.786529+00:00,resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__eval-dhan_shomadhan__seed42,resnet50,dhan_shomadhan,dhan_shomadhan,42,0.9215686274509804,0.917741935483871,split=test
2026-07-10T13:23:44.803080+00:00,resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__eval-riceleafbd__seed42,resnet50,dhan_shomadhan,riceleafbd,42,0.6015037593984962,0.5956519245109849,split=test
2026-07-10T13:26:16.510508+00:00,resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__eval-riceleafbd__seed42,resnet50,riceleafbd,riceleafbd,42,0.9914529914529916,0.9903217801306974,split=test
2026-07-10T13:26:20.031942+00:00,resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__eval-brri_rice_disease_pest__seed42,resnet50,riceleafbd,brri_rice_disease_pest,42,0.6456692913385826,0.624729135202574,split=test
2026-07-10T13:29:33.114558+00:00,resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__eval-brri_rice_disease_pest__seed42,resnet50,brri_rice_disease_pest,brri_rice_disease_pest,42,0.84251968503937,0.7866263440860215,split=test
2026-07-10T13:29:36.014286+00:00,resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__eval-riceleafbd__seed42,resnet50,brri_rice_disease_pest,riceleafbd,42,0.358974358974359,0.2998484002234102,split=test
2026-07-10T13:40:14.602562+00:00,resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__eval-dhan_shomadhan__seed42,resnet50,dhan_shomadhan,dhan_shomadhan,42,0.5728155339805825,0.5744938631820015,split=test
2026-07-10T13:40:19.363038+00:00,resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__eval-brri_rice_disease_pest__seed42,resnet50,dhan_shomadhan,brri_rice_disease_pest,42,0.5735294117647058,0.3733637927186314,split=test
2026-07-10T13:49:28.147105+00:00,resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__eval-brri_rice_disease_pest__seed42,resnet50,brri_rice_disease_pest,brri_rice_disease_pest,42,0.8578431372549019,0.835867012339275,split=test
2026-07-10T13:49:35.072554+00:00,resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__eval-dhan_shomadhan__seed42,resnet50,brri_rice_disease_pest,dhan_shomadhan,42,0.5436893203883495,0.5269330896200288,split=test
