held_out_dataset,model,n_seeds,f1_mean,f1_std
brri_rice_disease_pest,efficientnet_b0,3,0.16237993415215865,0.03137287019431555
brri_rice_disease_pest,mobilenetv2_100,3,0.2354788640909772,0.03200504174216646
brri_rice_disease_pest,resnet50,3,0.2910105624977665,0.0296580567479787
dhan_shomadhan,efficientnet_b0,3,0.4581751476562879,0.030635048639897165
dhan_shomadhan,mobilenetv2_100,3,0.31317984158408896,0.014399585066109163
dhan_shomadhan,resnet50,3,0.3700137250745989,0.0218403823875567
riceleafbd,efficientnet_b0,3,0.492063422306993,0.04260147783584017
riceleafbd,mobilenetv2_100,3,0.5006809230112005,0.07945423891857926
riceleafbd,resnet50,3,0.39777163818468164,0.013463339753544726
