model,train_dataset,test_dataset,seed,augmentation,in_macro_f1,cross_macro_f1,gap,checkpoint_path
mobilenetv2_100,riceleafbd,brri_rice_disease_pest,7,default,0.9808,0.3059,0.6748,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed7.pth
efficientnet_b0,riceleafbd,brri_rice_disease_pest,7,default,1.0,0.4149,0.5851,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed7.pth
resnet50,riceleafbd,brri_rice_disease_pest,7,default,0.9903,0.5893,0.401,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed7.pth
mobilenetv2_100,brri_rice_disease_pest,riceleafbd,7,default,0.823,0.4382,0.3848,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed7.pth
efficientnet_b0,brri_rice_disease_pest,riceleafbd,7,default,0.8335,0.443,0.3905,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed7.pth
resnet50,brri_rice_disease_pest,riceleafbd,7,default,0.8508,0.4418,0.409,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed7.pth
mobilenetv2_100,dhan_shomadhan,brri_rice_disease_pest,7,default,0.6382,0.3331,0.3051,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed7.pth
efficientnet_b0,dhan_shomadhan,brri_rice_disease_pest,7,default,0.6692,0.2594,0.4098,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed7.pth
resnet50,dhan_shomadhan,brri_rice_disease_pest,7,default,0.6114,0.3555,0.2558,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed7.pth
mobilenetv2_100,brri_rice_disease_pest,dhan_shomadhan,7,default,0.6996,0.3724,0.3272,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed7.pth
efficientnet_b0,brri_rice_disease_pest,dhan_shomadhan,7,default,0.7115,0.3367,0.3749,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed7.pth
resnet50,brri_rice_disease_pest,dhan_shomadhan,7,default,0.805,0.5178,0.2872,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed7.pth
mobilenetv2_100,riceleafbd,dhan_shomadhan,7,strong,0.9373,0.6062,0.3311,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed7.pth
efficientnet_b0,riceleafbd,dhan_shomadhan,7,strong,0.9537,0.4551,0.4986,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed7.pth
resnet50,riceleafbd,dhan_shomadhan,7,strong,0.9532,0.575,0.3782,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed7.pth
