train_dataset,test_dataset,model,classes,seed,augmentation,accuracy,macro_f1,n_samples,checkpoint_path
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,rice_blast|scald|tungro,2024,strong,0.4068627450980392,0.3663030587515714,204,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,2024,strong,0.6176470588235294,0.491340576459413,204,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,rice_blast|scald|tungro,2024,strong,0.4077669902912621,0.3811363674377372,103,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,rice_blast|scald|tungro,2024,strong,0.4951456310679611,0.453308596165739,103,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,2024,strong,0.5728155339805825,0.5391722099039171,103,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth
