augmentation,model,cross_mean,cross_std,n
default,efficientnet_b0,0.41797537391987305,0.12767965608056828,18
default,mobilenetv2_100,0.43403874421851246,0.13209017855649216,18
default,resnet50,0.4830876987538748,0.10739239279676668,18
strong,efficientnet_b0,0.4570554327679694,0.10246769603963979,14
strong,mobilenetv2_100,0.4619703833884098,0.10750237278889499,14
strong,resnet50,0.5651163571428571,0.1084177909248131,14
