run_id,experiment_type,model,train_datasets,eval_dataset,classes,split_seed,train_seed,augmentation,status,checkpoint_path,predictions_path,started_at,completed_at
efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed2024__eval-dhan_shomadhan__aug-strong,transfer_aug,efficientnet_b0,brri_rice_disease_pest,dhan_shomadhan,rice_blast|scald|tungro,42,2024,strong,complete,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth,results/predictions/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__eval-dhan_shomadhan__seed2024.csv,2026-07-22T14:13:18.779628+00:00,2026-07-22T14:23:13.545626+00:00
resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed2024__eval-dhan_shomadhan__aug-strong,transfer_aug,resnet50,brri_rice_disease_pest,dhan_shomadhan,rice_blast|scald|tungro,42,2024,strong,complete,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth,results/predictions/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__eval-dhan_shomadhan__seed2024.csv,2026-07-22T14:23:13.572435+00:00,2026-07-22T14:33:09.550135+00:00
mobilenetv2_100__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__seed2024__eval-riceleafbd__aug-default,lodo,mobilenetv2_100,dhan_shomadhan+brri_rice_disease_pest,riceleafbd,brown_spot|healthy|tungro,42,2024,default,complete,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__seed2024.pth,results/predictions/mobilenetv2_100__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__eval-riceleafbd__seed2024.csv,2026-07-22T14:33:09.637662+00:00,2026-07-22T14:38:05.125112+00:00
efficientnet_b0__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__seed2024__eval-riceleafbd__aug-default,lodo,efficientnet_b0,dhan_shomadhan+brri_rice_disease_pest,riceleafbd,brown_spot|healthy|tungro,42,2024,default,complete,results/checkpoints/efficientnet_b0__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__seed2024.pth,results/predictions/efficientnet_b0__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__eval-riceleafbd__seed2024.csv,2026-07-22T14:38:05.149483+00:00,2026-07-22T14:43:58.096359+00:00
resnet50__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__seed2024__eval-riceleafbd__aug-default,lodo,resnet50,dhan_shomadhan+brri_rice_disease_pest,riceleafbd,brown_spot|healthy|tungro,42,2024,default,complete,results/checkpoints/resnet50__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__seed2024.pth,results/predictions/resnet50__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__eval-riceleafbd__seed2024.csv,2026-07-22T14:43:58.120228+00:00,2026-07-22T14:56:33.034854+00:00
mobilenetv2_100__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__seed2024__eval-dhan_shomadhan__aug-default,lodo,mobilenetv2_100,riceleafbd+brri_rice_disease_pest,dhan_shomadhan,brown_spot|rice_blast|scald|tungro,42,2024,default,complete,results/checkpoints/mobilenetv2_100__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__seed2024.pth,results/predictions/mobilenetv2_100__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__eval-dhan_shomadhan__seed2024.csv,2026-07-22T14:56:33.059535+00:00,2026-07-22T15:13:22.223362+00:00
efficientnet_b0__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__seed2024__eval-dhan_shomadhan__aug-default,lodo,efficientnet_b0,riceleafbd+brri_rice_disease_pest,dhan_shomadhan,brown_spot|rice_blast|scald|tungro,42,2024,default,complete,results/checkpoints/efficientnet_b0__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__seed2024.pth,results/predictions/efficientnet_b0__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__eval-dhan_shomadhan__seed2024.csv,2026-07-22T15:13:22.246389+00:00,2026-07-22T15:24:01.522537+00:00
resnet50__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__seed2024__eval-dhan_shomadhan__aug-default,lodo,resnet50,riceleafbd+brri_rice_disease_pest,dhan_shomadhan,brown_spot|rice_blast|scald|tungro,42,2024,default,complete,results/checkpoints/resnet50__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__seed2024.pth,results/predictions/resnet50__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__eval-dhan_shomadhan__seed2024.csv,2026-07-22T15:24:01.546032+00:00,2026-07-22T15:34:53.083798+00:00
mobilenetv2_100__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__seed2024__eval-brri_rice_disease_pest__aug-default,lodo,mobilenetv2_100,riceleafbd+dhan_shomadhan,brri_rice_disease_pest,healthy|rice_blast|scald|tungro,42,2024,default,complete,results/checkpoints/mobilenetv2_100__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__seed2024.pth,results/predictions/mobilenetv2_100__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__eval-brri_rice_disease_pest__seed2024.csv,2026-07-22T15:34:53.109628+00:00,2026-07-22T15:57:34.405982+00:00
efficientnet_b0__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__seed2024__eval-brri_rice_disease_pest__aug-default,lodo,efficientnet_b0,riceleafbd+dhan_shomadhan,brri_rice_disease_pest,healthy|rice_blast|scald|tungro,42,2024,default,complete,results/checkpoints/efficientnet_b0__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__seed2024.pth,results/predictions/efficientnet_b0__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__eval-brri_rice_disease_pest__seed2024.csv,2026-07-22T15:57:34.432323+00:00,2026-07-22T16:21:56.714805+00:00
resnet50__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__seed2024__eval-brri_rice_disease_pest__aug-default,lodo,resnet50,riceleafbd+dhan_shomadhan,brri_rice_disease_pest,healthy|rice_blast|scald|tungro,42,2024,default,complete,results/checkpoints/resnet50__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__seed2024.pth,results/predictions/resnet50__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__eval-brri_rice_disease_pest__seed2024.csv,2026-07-22T16:21:56.740456+00:00,2026-07-22T16:36:15.302524+00:00
