run_id,experiment_type,model,train_datasets,eval_dataset,classes,split_seed,train_seed,augmentation,status,checkpoint_path,predictions_path,started_at,completed_at
efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed2024__eval-riceleafbd__aug-default,transfer_baseline,efficientnet_b0,dhan_shomadhan,riceleafbd,brown_spot|tungro,42,2024,default,complete,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed2024.pth,results/predictions/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__eval-riceleafbd__seed2024.csv,2026-07-21T15:50:05.422944+00:00,2026-07-21T15:54:52.539833+00:00
resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed2024__eval-riceleafbd__aug-default,transfer_baseline,resnet50,dhan_shomadhan,riceleafbd,brown_spot|tungro,42,2024,default,complete,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed2024.pth,results/predictions/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__eval-riceleafbd__seed2024.csv,2026-07-21T15:54:52.570556+00:00,2026-07-21T15:59:19.309498+00:00
mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed2024__eval-brri_rice_disease_pest__aug-default,transfer_baseline,mobilenetv2_100,riceleafbd,brri_rice_disease_pest,healthy|tungro,42,2024,default,complete,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed2024.pth,results/predictions/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__eval-brri_rice_disease_pest__seed2024.csv,2026-07-21T15:59:19.345821+00:00,2026-07-21T16:01:58.070655+00:00
efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed2024__eval-brri_rice_disease_pest__aug-default,transfer_baseline,efficientnet_b0,riceleafbd,brri_rice_disease_pest,healthy|tungro,42,2024,default,complete,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed2024.pth,results/predictions/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__eval-brri_rice_disease_pest__seed2024.csv,2026-07-21T16:01:58.103943+00:00,2026-07-21T16:05:34.861763+00:00
resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed2024__eval-brri_rice_disease_pest__aug-default,transfer_baseline,resnet50,riceleafbd,brri_rice_disease_pest,healthy|tungro,42,2024,default,complete,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed2024.pth,results/predictions/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__eval-brri_rice_disease_pest__seed2024.csv,2026-07-21T16:05:34.895177+00:00,2026-07-21T16:07:57.011217+00:00
mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed2024__eval-riceleafbd__aug-default,transfer_baseline,mobilenetv2_100,brri_rice_disease_pest,riceleafbd,healthy|tungro,42,2024,default,complete,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed2024.pth,results/predictions/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__eval-riceleafbd__seed2024.csv,2026-07-21T16:07:57.045025+00:00,2026-07-21T16:10:55.522981+00:00
efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed2024__eval-riceleafbd__aug-default,transfer_baseline,efficientnet_b0,brri_rice_disease_pest,riceleafbd,healthy|tungro,42,2024,default,complete,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed2024.pth,results/predictions/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__eval-riceleafbd__seed2024.csv,2026-07-21T16:10:55.553931+00:00,2026-07-21T16:15:00.466216+00:00
resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed2024__eval-riceleafbd__aug-default,transfer_baseline,resnet50,brri_rice_disease_pest,riceleafbd,healthy|tungro,42,2024,default,complete,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed2024.pth,results/predictions/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__eval-riceleafbd__seed2024.csv,2026-07-21T16:15:00.499344+00:00,2026-07-21T16:18:30.898332+00:00
mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed2024__eval-brri_rice_disease_pest__aug-default,transfer_baseline,mobilenetv2_100,dhan_shomadhan,brri_rice_disease_pest,rice_blast|scald|tungro,42,2024,default,complete,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed2024.pth,results/predictions/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__eval-brri_rice_disease_pest__seed2024.csv,2026-07-21T16:18:30.931598+00:00,2026-07-21T16:29:52.809590+00:00
efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed2024__eval-brri_rice_disease_pest__aug-default,transfer_baseline,efficientnet_b0,dhan_shomadhan,brri_rice_disease_pest,rice_blast|scald|tungro,42,2024,default,complete,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed2024.pth,results/predictions/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__eval-brri_rice_disease_pest__seed2024.csv,2026-07-21T16:29:52.841783+00:00,2026-07-21T16:48:30.902977+00:00
